Name,price,link
"
                   Infix IFX Series N3 (Black) 
               ",Rs. 590,/infix-ifx-series-n3/p/itmedefgazhajy3d?pid=MOBEDEFGSKDQPZSM&al=9UVSf0Mge7QjBi7c7xydsMldugMWZuE7Qdj0IGOOVqvI3f437BBVGgDST4U2XriGEpz%2FZpStp88%3D&ref=L%3A-2837858685631050888&srno=b_42
"
                   Infix Ultra IFX 101 Dual Sim Multimedia (Black, Yellow) 
               ",Rs. 590,/infix-ultra-ifx-101-dual-sim-multimedia/p/itmecybz3jyhkss6?pid=MOBECYBZEQTXFY8A&al=9UVSf0Mge7QjBi7c7xydsMldugMWZuE7Qdj0IGOOVqtf2az9mTlZ7yhR6gWCgHNoECd6UeAhJlM%3D&ref=L%3A-2837858685631050888&srno=b_43
"
                   Infix Nexam N1 Ultra Dual Sim Multimedia With Auto Call...
               ",Rs. 590,/infix-nexam-n1-ultra-dual-sim-multimedia-auto-call-record/p/itmecybz5umcp4mq?pid=MOBECYBZ7M6ZQCBQ&al=9UVSf0Mge7QjBi7c7xydsMldugMWZuE7Qdj0IGOOVqtDsRDAMq2IlTQH8EaeLl7SfZ2IiGIheeY%3D&ref=L%3A-2837858685631050888&srno=b_44
"
                   Infix N1 (Black) 
               ",Rs. 590,/infix-n1/p/itmef8kdnfcpsnvb?pid=MOBEF8KDAYZTMMQS&al=9UVSf0Mge7QjBi7c7xydsMldugMWZuE7Qdj0IGOOVqu3zi1OJg5mYNnBhjmm4SZ4MdXf%2FtbRwG4%3D&ref=L%3A-2837858685631050888&srno=b_45
"
                   Voicair Spark SRG1200 (Black) 
               ",Rs. 595,/voicair-spark-srg1200/p/itmeenkfjehnf8mh?pid=MOBEENKFZPZRXHBV&al=9UVSf0Mge7QjBi7c7xydsMldugMWZuE7Qdj0IGOOVqtZCQt%2FWtG6ZQAiRvlQj2htJ0cyA%2B3lDKc%3D&ref=L%3A-2837858685631050888&srno=b_46
"
                   Infix N1 (Black) 
               ",Rs. 599,/infix-n1/p/itmeev5wyr7y2gf5?pid=MOBEEV5WZ6UYGMGH&al=9UVSf0Mge7QjBi7c7xydsMldugMWZuE7Qdj0IGOOVqtZMaqBGFnf8BGSUKpqtv15ReoTo9whKI0%3D&ref=L%3A-2837858685631050888&srno=b_47
"
                   Rage YO (Red) 
               ",Rs. 599,/rage-yo/p/itme8azuugz8ahhe?pid=MOBE75UBHRP62ZGG&al=9UVSf0Mge7S02dyl7EqpoMldugMWZuE7Qdj0IGOOVqu%2B%2BbS8CnHrOtzvYE044wrecDduuTslaqM%3D&ref=L%3A-2837858685631050888&srno=b_48
"
                   Voicair Spark (Black, Sky Blue) 
               ",Rs. 599,/voicair-spark/p/itmecacvp9u79han?pid=MOBECACVQJH6VXPT&al=9UVSf0Mge7S02dyl7EqpoMldugMWZuE7Qdj0IGOOVqvXJTu87vqMAeK1l8NUA3e2ODSuW7cEt7M%3D&ref=L%3A-2837858685631050888&srno=b_49
"
                   INFIX AUTO CALL RECORDER (BLACK) 
               ",Rs. 599,/infix-auto-call-recorder/p/itmeff6wfyra9hvy?pid=MOBEFF6W3NYYWSGC&al=9UVSf0Mge7S02dyl7EqpoMldugMWZuE7Qdj0IGOOVqvO%2FoUCr7ulwQq7kx5ZBbZbjVMBMsPPpqU%3D&ref=L%3A-2837858685631050888&srno=b_50
"
                   Hicell C4 Dual Sim Mobile Phone with Camera Torch Fm & ...
               ",Rs. 599,/hicell-c4-dual-sim-mobile-phone-camera-torch-fm-manufacturer-warranty/p/itmecv4fahnyepfp?pid=MOBECV4FT6AMV9YF&al=9UVSf0Mge7S02dyl7EqpoMldugMWZuE7Qdj0IGOOVqu2OMP%2FOmYikokRCluomJDBLRNB8tnjrYg%3D&ref=L%3A-2837858685631050888&srno=b_51
"
                   Infix Infix 101- Black & White (Black, White) 
               ",Rs. 610,/infix-101-black-white/p/itmed5fjcwbmwnay?pid=MOBED5FJK4SS2MDY&al=9UVSf0Mge7S02dyl7EqpoMldugMWZuE7Qdj0IGOOVqvkqaIht6wEbjLHFuGTuPAnM99IvJDfL88%3D&ref=L%3A-2837858685631050888&srno=b_52
"
                   Infix Infix 2232 - Black (Black) 
               ",Rs. 619,/infix-2232-black/p/itmed5fjbwc8uw8c?pid=MOBED5FJBDBYXVQ3&al=9UVSf0Mge7S02dyl7EqpoMldugMWZuE7Qdj0IGOOVqvJV5jjLRJglowmWTXJBgTluxcFl42t2mA%3D&ref=L%3A-2837858685631050888&srno=b_53
"
                   Maxfone 505 (Black) 
               ",Rs. 622,/maxfone-505/p/itmecq2berw3dkn9?pid=MOBECQ2BSVMDXKVH&al=9UVSf0Mge7TmQTW8YFr83sldugMWZuE7Qdj0IGOOVquBZND44NgJLQ5tnHzst7aJngUVxmbbVf8%3D&ref=L%3A-2837858685631050888&srno=b_54
"
                   Jivi 12M (Black) 
               ",Rs. 623,/jivi-12m/p/itmdzyugkgyqnrwh?pid=MOBDZYUGWH4VCWZG&al=9UVSf0Mge7TmQTW8YFr83sldugMWZuE7Qdj0IGOOVqtKikrR7LXAl0Y9fMpXvfZoSYTQR5tW%2Feo%3D&ref=L%3A-2837858685631050888&srno=b_55
"
                   A&K A 1100 (Black) 
               ",Rs. 625,/a-k-a-1100/p/itmeaurq5yugwhme?pid=MOBEFH68MHYHHHFN&al=9UVSf0Mge7TmQTW8YFr83sldugMWZuE7Qdj0IGOOVqskjw4eCaCYqo%2Bl8Od0SwqFxvbPSLmJAvg%3D&ref=L%3A-2837858685631050888&srno=b_56
"
                   Maxfone 506 (Black, Red) 
               ",Rs. 625,/maxfone-506/p/itmeb9h6pchmqwkh?pid=MOBEB9H6BDZAGDQ7&al=9UVSf0Mge7TmQTW8YFr83sldugMWZuE7Qdj0IGOOVqvc8kqxADuzCUF1iz5ost%2BKN5Xc9yp1yLk%3D&ref=L%3A-2837858685631050888&srno=b_57
"
                   Infix EB011 (White) 
               ",Rs. 629,/infix-eb011/p/itmeefczn3stapnv?pid=MOBEEFCZA6NTMKBX&al=9UVSf0Mge7TmQTW8YFr83sldugMWZuE7Qdj0IGOOVqsHnNoyWibwtsXrtHpFlaA03SfteRF9XuY%3D&ref=L%3A-2837858685631050888&srno=b_58
"
                   Kenxinda FF1 (Black, Red, Silver) 
               ",Rs. 634,/kenxinda-ff1/p/itmecy4gfeme7ka2?pid=MOBECY4GNQZK9QHA&al=9UVSf0Mge7TmQTW8YFr83sldugMWZuE7Qdj0IGOOVquEfooC9cVh1Nxmp0s4zqs90D6cjp50pX8%3D&ref=L%3A-2837858685631050888&srno=b_59
"
                   Maxfone 509 (Black) 
               ",Rs. 635,/maxfone-509/p/itmecq2bgzee3mfr?pid=MOBECQ2BMWGKGP4G&al=9UVSf0Mge7RGWX01%2BJNoDsldugMWZuE7Qdj0IGOOVqtwKA8fYk5zlUgEQxwAkBu82AtWTj7xhM4%3D&ref=L%3A5037320620238455182&srno=b_60
"
                   REACH Star R2401 (Yellow) 
               ",Rs. 635,/reach-star-r2401/p/itmedsdfyvesuxv4?pid=MOBEDSDFUCD6BH4W&al=9UVSf0Mge7RGWX01%2BJNoDsldugMWZuE7Qdj0IGOOVqu%2F%2BxSudeT%2Bz3ZheVMqPPwJMfclwHQ1ark%3D&ref=L%3A5037320620238455182&srno=b_61
